Date,Sensor
2025-08-06 01:44:41,201
2025-08-06 01:54:41,200
2025-08-06 02:04:41,200
2025-08-06 02:14:41,201
2025-08-06 02:24:41,200
2025-08-06 02:34:41,200
2025-08-06 02:44:41,200
2025-08-06 02:54:41,201
2025-08-06 03:04:41,201
2025-08-06 03:14:41,201
2025-08-06 03:24:41,201
2025-08-06 03:34:41,201
2025-08-06 03:44:41,200
2025-08-06 03:54:41,201
2025-08-06 04:04:41,201
2025-08-06 04:14:41,201
2025-08-06 04:24:41,201
2025-08-06 04:34:41,201
2025-08-06 04:44:41,201
2025-08-06 04:54:41,201
2025-08-06 05:04:41,201
2025-08-06 05:14:41,201
2025-08-06 05:24:41,201
2025-08-06 05:34:41,201
2025-08-06 05:44:41,201
2025-08-06 05:54:41,201
2025-08-06 06:04:41,201
2025-08-06 06:14:41,201
2025-08-06 06:24:41,201
2025-08-06 06:34:41,201
2025-08-06 06:44:41,201
2025-08-06 06:54:41,201
2025-08-06 07:04:41,201
2025-08-06 07:14:41,201
2025-08-06 07:24:41,201
2025-08-06 07:34:41,201
2025-08-06 07:44:41,201
2025-08-06 07:54:41,201
2025-08-06 08:04:41,201
2025-08-06 08:14:41,201
2025-08-06 08:24:41,201
2025-08-06 08:34:41,201
2025-08-06 08:44:41,200
2025-08-06 08:54:41,200
2025-08-06 09:04:41,200
2025-08-06 09:14:41,200
2025-08-06 09:24:41,200
2025-08-06 09:34:41,199
2025-08-06 09:44:41,199
2025-08-06 09:54:41,198
2025-08-06 10:04:41,197
2025-08-06 10:14:41,197
2025-08-06 10:24:41,196
2025-08-06 10:34:41,196
2025-08-06 10:44:41,196
2025-08-06 10:54:41,196
2025-08-06 11:04:41,195
2025-08-06 11:14:41,195
2025-08-06 11:24:41,195
2025-08-06 11:34:41,194
2025-08-06 11:44:41,194
2025-08-06 11:54:41,194
2025-08-06 12:04:41,193
2025-08-06 12:14:41,193
2025-08-06 12:24:41,193
2025-08-06 12:34:41,193
2025-08-06 12:44:41,193
2025-08-06 12:54:41,193
2025-08-06 13:04:41,193
2025-08-06 13:14:41,193
2025-08-06 13:24:41,193
2025-08-06 13:34:41,193
2025-08-06 13:44:41,193
2025-08-06 13:54:41,193
2025-08-06 14:04:41,193
2025-08-06 14:14:41,193
2025-08-06 14:24:41,193
2025-08-06 14:34:41,193
2025-08-06 14:44:41,193
2025-08-06 14:54:41,193
2025-08-06 15:04:41,193
2025-08-06 15:14:41,193
2025-08-06 15:24:41,193
2025-08-06 15:34:41,193
2025-08-06 15:44:41,193
2025-08-06 15:54:41,193
2025-08-06 16:04:41,193
2025-08-06 16:14:41,193
2025-08-06 16:24:41,193
2025-08-06 16:34:41,193
2025-08-06 16:44:41,193
2025-08-06 16:54:41,193
2025-08-06 17:04:41,193
2025-08-06 17:14:41,193
2025-08-06 17:24:41,193
2025-08-06 17:34:41,193
2025-08-06 17:44:41,193
2025-08-06 17:54:41,193
2025-08-06 18:04:41,193
2025-08-06 18:14:41,193
2025-08-06 18:24:41,193
2025-08-06 18:34:41,194
2025-08-06 18:44:41,194
2025-08-06 18:54:41,194
2025-08-06 19:04:41,194
2025-08-06 19:14:41,195
2025-08-06 19:24:41,195
2025-08-06 19:34:41,195
2025-08-06 19:44:41,195
2025-08-06 19:54:41,196
2025-08-06 20:04:41,196
2025-08-06 20:14:41,196
2025-08-06 20:24:41,197
2025-08-06 20:34:41,197
2025-08-06 20:44:41,197
2025-08-06 20:54:41,197
2025-08-06 21:04:41,198
2025-08-06 21:14:41,198
2025-08-06 21:24:41,198
2025-08-06 21:34:41,198
2025-08-06 21:44:41,198
2025-08-06 21:54:41,198
2025-08-06 22:04:41,199
2025-08-06 22:14:41,199
2025-08-06 22:24:41,199
2025-08-06 22:34:41,199
2025-08-06 22:44:41,199
2025-08-06 22:54:41,199
2025-08-06 23:04:41,199
2025-08-06 23:14:41,199
2025-08-06 23:24:41,199
2025-08-06 23:34:41,199
2025-08-06 23:44:41,199
2025-08-06 23:54:41,199
2025-08-07 00:04:41,200
2025-08-07 00:14:41,199
2025-08-07 00:24:41,199
2025-08-07 00:34:41,199
2025-08-07 00:44:41,199
2025-08-07 00:54:41,199
2025-08-07 01:04:41,199
2025-08-07 01:14:41,199
2025-08-07 01:24:41,199
2025-08-07 01:34:41,199
2025-08-07 01:44:41,199
2025-08-07 01:54:41,199
2025-08-07 02:04:41,199
2025-08-07 02:14:41,199
2025-08-07 02:24:41,199
2025-08-07 02:34:41,199
2025-08-07 02:44:41,200
2025-08-07 02:54:41,200
2025-08-07 03:04:41,200
2025-08-07 03:14:41,200
2025-08-07 03:24:41,200
2025-08-07 03:34:41,200
2025-08-07 03:44:41,200
2025-08-07 03:54:41,200
2025-08-07 04:04:41,200
2025-08-07 04:14:41,200
2025-08-07 04:24:41,200
2025-08-07 04:34:41,200
2025-08-07 04:44:41,200
2025-08-07 04:54:41,200
2025-08-07 05:04:41,200
2025-08-07 05:14:41,200
2025-08-07 05:24:41,200
2025-08-07 05:34:41,201
2025-08-07 05:44:41,201
2025-08-07 05:54:41,201
2025-08-07 06:04:41,201
2025-08-07 06:14:41,201
2025-08-07 06:24:41,201
2025-08-07 06:34:41,201
2025-08-07 06:44:41,201
2025-08-07 06:54:41,201
